No,Nama obat,Kandungan obat,Kegunaan obat,Dosis,Efek
14,Novamag,"Tiap 5 ml ( satu sendok takar ) suspensi mengandung :Dried Aluminium Hydroxide Gel 261,44 mg ( setara dengan Aluminium Hydroxide 200 mg ) Magnesium Hydroxide 200 mg Simethicone 20 mg","Untuk mengurangi gejala asam lambung, gastritis, tukak lambung, tukak usus 12 jari, dengan gejala – gejala seperti mual, nyeri lambung, nyeri uluh hati. Kram dan perih pada perut serta perut terasa kembung","Dewasa : 1 – 2 sendok takar ( 5 – 10 ml ) 3 – 4 x sehari. Anak usia 6 – 12 tahun : ½ - 1 sendok takar ( 2,5 – 5 ml ) 3 – 4 x sehari. Obat diminum 1 jam sebelum makan atau 2 jam setelah makan dan menjelang tidur.","Efek samping yang umum adalah sembelit, diare, mual, muntah, dan gejala – gejala tersebut akan hilang jika pemakaian oabt diberhentikan."
15,Lexacrol,Tiap tablet mengandung : Dried Aluminium Hydroxide gel 300 mg Magnesium Hidroxide 300 mg Simethicone 50 mg,"Untuk mengurangi gejala – gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari, dengan gejala – gejala seperti mual, kembung dan perasaan penuh pada lambung.","Dewasa : 1 – 2 sendok takar ( 5 – 10 ml ) 3 – 4 x sehari. Anak usia 6 – 12 tahun : ½ - 1 sendok takar ( 2,5 – 5 ml ) 3 – 4 x sehari. Obat diminum 1 jam sebelum makan atau 2 jam setelah makan dan menjelang tidur.","Umunya : konstipasi, diarrhoea, nausea dan vortinus, dan gejala – gejala ini akan hilang bila pemakaian obat diberhentikan."
16,Samtacid,"Tiap tablet mengandung : Dried Aluminium Hydroxide gel 261,44 mg ( setara dengan Alumunium Hydroxide ) 200 mg Magnesium Hidroxide 200 mg Simethicone 30 mg","Untuk mengurangi gejala – gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari, dengan gejala – gejala seprti mual, nyeri lambung, nyeri uluh hati.","Dewasa : 1 – 2 sendok takar ( 5 – 10 ml ) 3 – 4 x sehari Anak usia 6 – 12 tahun : ½ - 1 sendok takar ( 2,5 – 5 ml ) 3 – 4 x sehari. Obat diminum 1 jam sebelum makan atau 2 jam setelah makan dan menjelang tidur.",Efek Samping yang mungkin timbul adalah: Penggunaan pada dosis tinggi dan jangka penggunaan yang panjang dapat menyebabkan gangguan fungsi ginjal.
17,Omegavit,"Tiap kapsul mengandung :Ferrous Furmarte 89,5 mg Manganese Sulphate 0,2  Copper Sulphate 0,2 mg Ascorbic Acid 50,0 mg Folic Acid 1,0 mg Cyanocobalamin 7,5 mcg","Anemia yang disebabkan kekurangan zat besi dan mineral, juga membantu proses pembentukan haemaglobin dan sel darah",1x sehari 1kapsul sesudah makan,"Pada beberapa orang dapat menimbulkan gejala seperti mual, nyeri di lambung,  muntah dan kadang kadang terjadi diare atau sulit buang air besar."
18,Fervital,"Ferrous Fumarate (=30 mg Fe) 91,5 mg 135 kkal Vitamin A Acetat 4000 IU 200 kkal Vitamin B2 10,4 mg 650 kkal Vitamin B6 HCl 2,08 mg 130 kkal Vitamin B12 5 mcg 210 kkal Nicotinamide 20,8 mg 140 kk Zinc Sulphate Monohydrate 1,56 mg 4 kkalal Copper Sulphate Anhydrate 1 mg 15 kkal Calcium D Panthothenate 6,24 mg 115 kkal Magnesium Oxide 1 mg 0 kkal Mangan Suphate Mono hydrate 1 mg 15 kkal","Unutk membantu memenuhi kebutuhan vitamin dan mineral terutama pada keadaan anemia karna kekurangan zat besi,",1 kali sehari 1 kapsul atau sesuai anjuran dokter,"Kadang terjadi nausea, nyeri lambung, diare dan kolik."
19,Grafachlor,"Tiap kaplet mengandung : Dexamethasone 0,5 mg Dexchlorphrniramine meleate 2 mg",Obat Grafachlor bermanfaat untuk mengatasi gejala alergi.,"Dewasa : 1 kaplet, diminum 3-4x sehari Anak usia 6-12 tahun: ½ kaplet, diminum 3-4 kali sehari. Anak usia 2-6 tahun: ¼ kaplet, diminum 3-4 kali sehari.","Efek samping penggunaan Grafachlor yang mungkin terjadi adalah: Gangguan saluran pencernaan, Mulut kering, Retensi cairan dan elektrolit, Reaksi metabolisme"
20,Rheumakap Phenylbutazone,Tiap kaplet mengandung phenyltutazone 200 mg,"Untuk ankyloksing spondylitis aktif, artritis gout akut, theumatoid aktif, oesteoarthritis akut, digunakan pada penderita dimana pengibatan lain termasuk NSAID lain tidak memberikan hasil.","Kondisi: Rematik Dosis dapat diberikan sampai dengan 600 mg per hari, dibagi dalam beberapa jadwal konsumsi. Dosis dapat dikurangi setelah 1–3 hari pengobatan. Waktu pengobatan maksimal 1 minggu. Kondisi: Penyakit Asam Urat (gout). Dosis dapat diberikan sampai dengan 800 mg per hari, sesuai kebutuhan pasien. Dosis dapat dikurangi setelah 1–3 hari pengobatan. Waktu pengobatan maksimal 1 minggu.","Ada beberapa efek samping yang dapat terjadi setelah mengonsumsi fenilbutazon, antara lain: Sakit Perut atau muntah, Heartburn, Diare atau konstipasi, kembung, Pusing, Kantuk. Lemas"
21,Renabetic,Tiap tablet mengandung Glibenclamide 5 mg,"digunakan untuk pengobatan diabetes. Dengan gejala buang air kecil terus-menerus, tubuh lemas, tangan dan kaki kesemutan","Harus dikonsumsi bersama makanan. Diminum bersama sarapan atau makanan utama pertama pada hari itu. Dewasa: 1/2 tablet per hari. Dosis dapat ditingkatkan 1/2 tablet perhari setiap kalinya dengan interval 3-5 hari sampai dengan kontrol metabolik tercapai. Dosis maksimal penggunaan maksimal 20 mg/hari. Usia lanjut, kerusakan fungsi ginjal dan hati: awal 1,25 mg/hari. Dosis > 10 mg/hari, sebaiknya diberikan dalam dosis terbagi.","gangguan gastrointestinal, reaksi hipersensitif"
22,Diaformin,Tiap kaplet lepas lambat mengandung: Metformin HCl 500 mg,"Diaformin XR yang di gunakan untuk mengontrol kadar gula dalam darah. gejala buang air kecil , tubuh lemas, tangan dan kaki kesemutan","Dosis Awal: di berikan dosis 1 kaplet / hari, di minum saat makan siang, dosis dapat di tingkatkan dengan peningkatan 1 tablet hingga Maksimal 2.000 mg / hari sesuai dengan respons. Pencegahan: di berikan dosis 1 kaplet / hari, di minum saat makan malam, secara bertahap tingkatkan dosis dengan jangka waktu 10-15 hari, menurut tanggapan. Maksimal: 2.000 mg / hari saat makan malam.","Efek samping penggunaan Diaformin XR yang mungkin terjadi adalah: Ketidaknyamanan dada, Jantung berdebar, Mual, muntah,nyeri perut, perut kembung, Mulas, sembelit, Sakit kepala, Mengantuk, Asidosis laktat"
23,Vosea tablet,Tiap tablet mengandung : Metoclopramide HCl,Mual muntah yang diinduksi obat radiasi atau yang terjadi pasca operasi. Meringankan atau mengurangi gastroparesis akut dan yang kambuhan dan menghilangkan rasa panas pada refluks esofagitis,"Dewasa dan Anak > 6 tahun : 1/2-1 tablet 3 kali/hari, maksimal : 0.5 mg/kg berat badan/hari dalam 3 dosis terbagi.  Anak < 6 tahun : maksimal 0.1 mg/kg berat badan 1 kali/hari.","diare, mengantuk, sembelit dan gejala ekstrapiramidal, gelisah dan lelah yang berlebihan, kadang terjadi agitasi, iritabilitas, urtikaria, mulut kering"
24,Ketoconazole,Tiap tablet mengandung ketoconazole,"infeksi jamur pada kulit, rambut dan mukosa yang disebabkan oleh dermatophyte dan/atau ragi ( dermatphytosis, pityriasis vercicolor pityrosporum, folliculitis, mucocutaneous candidiasis), biala infeksi ini tidak dapat diobati secara topikal karena tempat lesi tidak dipermukaan kulit atau kegagalan pada terapi lokal tidak diindikasikan unutk jamur  meningitis karena ketoconazole tidak menembus sawar darah otak dengan baik.","Dewasa : 200 mg 1 x sehari. Jika respon tidak ada, dapat ditingkatkan menjadi 400 mg.  Anak > 2 tahun : 3,3-6,6 mg/kg 1 x sehari. Sindrom Crushing: Dewasa dan anak > 12 tahun: Dosis awal 400-600 mg, dapat ditingkatkan 200 mg per hari.  Dosis pemeliharaan: 600-800 mg per hari (Max. 1200 mg per hari). Semua dosis diberikan dalam 2 atau 3 dosis terbagi.","Dispepsia, nausea, sakit perut dan diare, Sakit kepala, peningkatan enzim hati yang reversible, gangguan haid, dizziness, paraesthesia dan reaksi alergi. Thrombositopenia, allupesia, peningkatan tekanan “ intracranial pressure “ yang reversible ( seperti papiloedema, “ bulding fontanel” pada bayi). Impotensi ( sangat jarang ), Gynaecomastica dan oligospermia yang reversible bila dosis yang diberika lebih tinggi dari terapi yang dianjurkan,Hepatitis ( kemungkinan besar idiosinkrasi ) jarang terjadi ( terlihat dalam 1/12.000 penderita ), Reversible apabila pengobatan dihentikan pada waktunya."
25,CTM,Tiap tablet mengandung Chlorphemine maleate 4mg,"Untuk meringankan gejala alergi seperti pada rhintis, urtikaria, hay faver.",Dewasa : 3 – 4 x sehari 1 tablet Anak – anak 6 -12 tahun : 3 – 4 x sehari ½ tablet,"Mulut kering, Mengantuk, Pandangan kabur"
26,loratadine,Setiap tablet mengandung loratedine 10 mg,"Obat ini digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria.","Dewasa dan anak usia lebih dari 12 tahun : 10 mg sekali sehari atau 5 mg dua kali sehari.  Anak usia 2-12 tahun : BB kurang dari 30 kg: 5 mg sekali sehari. BB lebih dari 30: 10 mg, sekali sehari.","Terdapat beberapa efek samping yang terjadi akibat penggunaan LORATADINE 10 MG TABLET, yaitu: Mengantuk, Kelelahan, Sakit kepala, Sakit perut, Insomnia, Mata, mulut dan tenggorokan terasa kering"
27,Molacort,Tiap tablet mengandung :,"Molacort digunakan untuk mengobati reaksi alergi, masalah pernapasan, gangguan usus tertentu, dan kanker tertentu, gangguan kelenjar adrenal (sindrom Cushing).","Dosis awal: 0.75- 9 mg perhari. Penyakit ringan: diberikan dosis < 0.75 mg, diminum 2-4 kali sehari. Penyakit berat: diberikan dosis > 9 mg, diminum 2-4 kali sehari.","Gangguan penglihatan, Nafsu makan meningkat, Pertumbuhan terlambat, Pembengkakan tungkai kaki, Tekanan darah tinggi, Tidak terjadinya menstruasi pada siklus bulanannya, Lemah otot."
28,Samcodin,"Chlorpheniramine Maleate 2 mg, Dextrometrophan 15 mg, Guaifenesin 100 mg.",Samcodin digunakan untuk mengatasi batuk dan mengencerkan dahak yang disebabkan alergi.,"Satu tablet diminum 3 kali sehari, diberikan sesudah makan","Efek samping yang dapat muncul selama penggunaan Samcodin adalah: Muntah, Diare, Nyeri perut, Mual, Rasa kantuk, Pusing,Sakit kepala, ruam"
29,Grantusif,Tiap kaplet mengandung : Dextromethorphan HBr 15 mg Guaifenesin 100 mg Diphenhydramine HCl 5 mg,Untuk mengobati batuk yang disertai alergi.,Dewasa dan anak > 12 tahun : 1 - 2 kaplet 1 x sehari Anak 6 – 12 tahun : ½ - 1 kaplet 3 x sehari,"Efek samping yang dapat timbul selama penggunaan Grantusif, antara lain:Mual, Sembelit, Mengantuk, Mulut terasa kering, pusing"
30,Dextral,Tiap kaplet salut selaput mengandung :Dextromethorphan HBr 10 mg Guaifenesin 50 mg Phenylpropanolamine 50 mg Chlorphenamine Maleate 1 mg,Untuk meringankan batuk dan pilek,Dewasa: 3 kali sehari 1 kaplet Anak-anak 6 – 12 tahun: 3 kali sehari ½ kaplet,"Obat ini dapat menyebabkan kantuk, gangguan pencernaan, gangguan psikomotor, takikardia, aritmia, mulut kering, palpitasi, retensi urine."
31,Selkom-c,"Tiap kapsul mengandung : Vitamin B1 10 mg, Vitamin B2 5 mg, Vitamin B6 5 mg, Vitamin B12 5 mcg, Nicotinamide 20 mg, Calcium Panthotenate 10 mg, Vitamin C 500 mg",Membantu memenuhi kebutuhan Vitamin B Kompleks dan Vitamin C. membantu menjaga daya tahan tubuh dan stamina.,1 – 2 x sehari 1 kapsul,Belum ada efek samping Selkom-C yang dilaporkan.
32,Benovit C,"Tiap tablet mengandung : Vitamin B1 10 mg, Vitamin B2 5 mg, Vitamin B6 5 mg, Vitamin B12 5 mcg, Nicotinamide 20 mg, Calcium Panthotenate 10 mg, Vitamin C 500 mg","Digunakan sebagain suplemen vitamin dan mineral dimana kebutuhan vitamin B, vitamin C, dan kalsium meningkat , seperti pada masa penyembuhan setelah sakit.","Dewasa : 1 kaplet salut gula per hari, atau menurut petunjuk dokter.",Belum ada efek samping Benovit3-C yang dilaporkan.
33,Imnusive for Adults,"Tiap kapsul mengandung : Vitamin zinc (Ascorbic Acid 97%) 250 mg Zinc Sulphate monohydrate ( yang setara dengan Zinc 10 mg ) 27, 5 mg Vitamin D3 400 IU","Supleen vitamin C, vitamin D dan Zinc unutk membantu memelihara kesehatan dan daya tahan tubuh.",1 x sehari 1 kapsul,Belum ada efek samping  Imnusive for Adults yang dilaporkan.
34,Allopurinol,Tiap tablet mengandung : Alloputinol 300 mg,"Hiperurisemia : gout  Hiperurisemia sekunder : Mencegah pengendapan asam urat dan kalsium oksalat, produksi berlebiha asam urat antara lain pada keganasan, polisitemia vera, terapi sitostatik.","Kondisi : asam urat atau gout Dewasa: Dosis awal 100 mg per hari. Dosis bisa ditingkatkan secara bertahap 200–300 mg per hari, Untuk kondisi berat, dosis awal 100 mg per hari yang akan ditingkatkan setiap minggu 400–600 mg per hari. Kondisi: Pengobatan batu ginjal  Dewasa: 200–300 mg dikonsumsi sebanyak 1–2 kali per hari. Kondisi: Hiperurisemia yang disebabkan oleh kemoterapi Dewasa: 600–800 mg per hari dikonsumsi sebanyak 1–2 kali per hari selama 2–3 hari sebelum menjalani kemoterapi. Anak-anak: 150–300 mg per hari selama 2–3 hari sebelum menjalani kemoterapi. Dosis maksimal 400 mg per hari.","Beberapa efek samping yang dapat terjadi setelah mengonsumsi allopurinol adalah: Mual , Sakit perut, Diare , Sakit kepala, Kantuk , Pusing, Nyeri sendi"
35,Simvastatin,Tiap kaplet salut selaput mengandung :  Simvastatin 10 mg,"Mengurangi kadar kolesterol total dan ldl pada penderita hiperkolesterolemia primer dan sekunder , meningkatkan kadar hdl",awal : 1 x 10 mg sehari sebagai anti hiperkolesterol ringan 5 mg sehari maksimal 40 mg seh,"nyeri abdomen, konstipasi, dan kembung"
36,Santibi Plus,"Tiap tablet mengandung :  etambutol HCl 250mg, isoniazid 100mg, vit B6 6mg.",tuberkulosis paru-paru yang diberikan bersama dengan obat antituberkulosis lainnya atau dalam hal resisten terhadap obat khusus lainnya,pengobatan awal: BB50kg 4 tablet dosis tunggal. pengobatan ulang: BB50kg 5-6tablet dosis tunggal.,"gatal kemerahan, mual, muntah, gangguan penglihatan, kesemutan dan rasa terbakar"
37,Rifampicin,Tiap kaplet mengandung :Rifamppicin 450 mg,"Mengobati TBC dengan gejala tubuh lemas nafsu makan menghilang, demam dan keringat dingin pada malam hari, batuk berdarah, kurang berenergi, rasa nyeri di dada, dan batuk berdahak dengan waktu yang berlangsung cukup lama yakni sekitar 21 hari, kusta, mencegah dan mengatasi infeksi bakteri N. meningitidis dan H. influenza tipe B (Hib).","Kondisi : Tuberkolosis   Dosis dewasa: 8–12 mg/kgBB per hari.Dosis maksimal bagi pasien dengan berat badan <50 kg adalah 450 mg per hari, sedangkan bagi pasien dengan berat ≥50 kg adalah 600 mg per hari. Dosis anak-anak: 10–20 mg/kgBB per hari. Dosis maksimal adalah 600 mg per hari. Kondisi: Infeksi bakteri meningitidis Dosis dewasa: 600 mg, 2 kali sehari, selama 2 hari.Dosis anak ≤1 bulan: 10 mg/kgBB, tiap 12 jam, selama 2 hari. Dosis anak >1 bulan: 20 mg/kgBB, tiap 12 jam, selama 2 hari. Kondisi: Kusta Dosis dewasa: 600 mg, sekali sebulan, selama 6–12 bulan. Dosis anak 10–14 tahun: 400 mg, 1 kali sebulan, selama 6–12 bulan. Dosis anak usia <10 tahun atau anak dengan berat badan <40 kg: 10 mg/kgBB, 1 kali sebulan, selama 6–12 bulan. Kondisi: Pencegahan dan pengobatan infeksi influenzae tipe B (Hib) Dosis dewasa: 600 mg per hari, selama 4 hari. Dosis anak-anak usia ≤1 bulan: 10 mg/kgBB per hari, selama 4 hari. Dosis anak-anak usia >1 bulan: 20 mg/kgBB per hari, selama 4 hari. Dosis maksimal adalah 600 mg/hari.","Gangguan saluran cerna, seperti mual, muntah, nyeri ulu hati, tidak nafsu makan, diare, radang usus . Ganguan pada fungsi hati, seperti hepatitis, penyakit kuning, hingga kerusakan hati Gangguan jantung, seperti gangguan irama jantung dan henti jantung Gangguan darah, seperti anemia hemolitik, turunnya kadar sel darah putih (leukopenia), atau trombositopen penia Gangguan pada ginjal, seperti penurunan jumlah urine Perubahan warna urine, keringat, atau air liur menjadi kuning, oranye, atau coklat"
38,Furosemide,Tiap tablet mengandung : Furosemide 40 mg,"Pengobatan edema yang menyertai payah jantung kongestif, sirosis hati dan gangguan ginjal termasuk sindrom nefrotik. Pengobatan hipertensi, baik diberikan dengan dosis tunggal atau kombinasi dengan obat antihipertensi. Furosemid sangat berguna untuk keadaan yang membutuhkan diuretik kuat. Pendukung diuresis yang dipaksakan pada keracunan.","Dewasa (1-2 kali sehari, 1-2 tablet) Untuk dosis pemeliharaan (1 tablet, 1 kali sehari) Dosis maksimum (sehari 5 tablet)","Gangguan saluran cerna minor, hipotensi ortostatik, pusing, dan sakit kepala"
